timestamp,x,y,z,r
2024/06/05-18:53:15.056767,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.142992,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.220987,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.296410,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.411189,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.508270,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.554701,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.660763,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.693040,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.777420,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.855248,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.932185,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:15.975912,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.070189,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.132126,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.210389,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.271273,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.346181,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.408401,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.497727,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.542830,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.647270,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.726097,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.842889,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.940448,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:16.994087,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:17.097663,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:17.164910,400.30,-96.75,272.76,-4.00
2024/06/05-18:53:17.229248,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.320237,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.396149,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.436568,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.512458,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.663339,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.691531,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.802245,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.876282,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:17.922201,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.003956,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.081844,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.162941,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.246940,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.389724,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.432895,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.518618,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.606653,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.685925,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.774960,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.864010,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:18.945751,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:19.026141,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:19.127377,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:19.183172,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:19.231233,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:19.316275,400.32,-96.77,272.65,-4.01
